##Data Table S3. List of differentially expressed genes and which cell type(s) they are differentially expressed in.,,,,,,,,,,,,,,,,,,,,,,,
,B-Asian,B-European,NK-Asian,NK-European,PB-Asian,PB-European,Progen-Asian,Progen-European,Prolif-Asian,Prolif-European,T4-Asian,T4-European,T8-Asian,T8-European,cDC-Asian,cDC-European,cM-Asian,cM-European,ncM-Asian,ncM-European,pDC-Asian,pDC-European,Module
LY6E,0.453929338,0.474520078,0.588133438,0.639625163,,,,,0.65945524,0.809200481,0.540893501,0.626242223,0.506608416,0.554044794,,1.245334816,0.952800899,1.346186427,0.651910431,0.753400422,,,Up-Pan
LYAR,,,,-0.501166502,,,,,,,0.373794462,,,,,,,0.370114594,,,,,Up-Monocyte
LYPD2,,,,,,,,,,,,,,,,,,,,-0.698476859,,,Down-Pan
MARCKS,,,,,,,,,,,,,,,,,,0.454530837,,0.518953756,,,Up-Monocyte
MDS2,,,,,,,,,,,-0.809810677,-0.732768516,,,,,,,,,,,Down-Pan
METTL8,-0.819356387,,,,,,,,,,,,,,,,,,,,,,Up-T
MGAT4A,,,-0.518852313,-0.571759133,,,,,,,-0.513452223,-0.362975084,-0.515523087,-0.344139815,,,,,,,,,Down-Pan
MIR24-2,,,,,,,,,,,,,,,,,-1.250004848,-0.931315408,,,,,Up-B
MNDA,,,,,,,,,,,,,,,,0.41656743,0.48040045,0.452121026,0.52603902,0.601394693,,,Up-Monocyte
MRPL27,,,,,,,,,,,0.252083522,0.205371484,,,,,0.383552482,0.529219079,,0.683565037,,,Up-Monocyte
MRPS18C,0.36394847,,,,,,,,,,,,,,,,,0.412395778,,0.518884739,,,Up-Monocyte
MRPS31,,,,,,,,,,,,0.226778211,,,,,0.503254802,0.335931286,,,,,Up-Pan
MS4A4A,,,,,,,,,,,,,,,,,0.545259344,0.740461172,0.933089574,1.020060593,,,Up-Monocyte
MS4A6A,,,,,,,,,,,,,,,,,,,,0.631971152,,,Up-Monocyte
MT1X,,,,,,,,,,,0.206484778,,,,,,0.52194673,0.504724551,,,,,Up-Monocyte
MT2A,,,,,,,,,,0.542059745,0.534132121,0.554612923,,,0.92720408,1.112251798,0.950318595,1.118751394,0.983125972,0.99115115,,,Up-Pan
MX1,,,,,,,,,,,0.91962503,1.235707094,,,,,0.985333762,1.702936928,,,,,Up-Pan
MX2,,,,,,,,,,,0.577266392,0.63460957,,,,,0.836359002,1.082721463,,0.963287087,,,Up-Pan
MYOF,,,,,,,,,,,,,,,,,,0.639156926,,,,,Up-Monocyte
NAGK,,,,,,,,,,,,,,,,,,0.370951953,0.418958769,0.526379256,,,Up-Monocyte
NCF1,,,,,,,,,,,-0.283184311,-0.314207649,-0.399252596,-0.428329499,,,,0.264382426,,0.911727796,,,Up-Monocyte
NCF4,,,,,,,,,,,,0.501595181,,,,,,,,,,,Up-Monocyte
NCOA7,,,,,,,,,,,,,,-0.356757462,,,,0.527001737,,,,,Up-Pan
NFE2L2,,,,-0.513431211,,,,,,,,,,,,,-0.444608356,,,,,,Up-T
NMI,,,,,,,,,,,0.387232165,0.469939918,,,,,0.438949948,0.48932782,0.411893986,0.715208011,,,Up-Monocyte
NPDC1,,,,,,,,,,,0.917781374,0.795776303,,,,,,,,,,,Up-T
NR1D2,,,,,,,,,,,,,,,,,-0.599784956,,,,,, 
NR4A1,,,,,,,,,,,,,,,,,-0.679461272,,,,,,Up-B
NR4A2,-0.612725491,-0.581538469,-0.883655562,-0.477899686,,,,,,,-0.576069943,,-0.818148471,-0.452566054,-0.978374514,-0.410086486,-0.765952391,-0.409950918,,,,,Up-B
NT5C3A,,0.487868104,,,,,,,,,,,,,,,,,,0.864181159,,,Up-Pan
OAS1,,,,,,,,,,,1.082516989,1.463960991,,,,,0.815198567,1.186228892,0.370637885,0.747970264,,,Up-Pan
OAS2,,,,,,,,,,,,,,,,,1.069671601,1.416006178,,,,,Up-Pan
