,Cell Type
1133,Monocytes
1134,NK
1135,Monocytes
1136,Monocytes
1137,NK
1138,T Cells
1139,Monocytes
1140,NK
1141,T Cells
1142,T Cells
1143,T Cells
1144,NK
1145,Monocytes
1146,Monocytes
1147,Monocytes
1148,NK
1149,Monocytes
1150,Dendritic Cells
1151,NK
1152,T Cells
1153,NK
1154,NK
1155,Dendritic Cells
1156,B Cells
1157,NK
1158,Monocytes
1159,T Cells
1160,Monocytes
1161,Monocytes
1162,Monocytes
1163,Monocytes
1164,Monocytes
1165,NK
1166,Monocytes
1167,NK
1168,Monocytes
1169,Monocytes
1170,T Cells 
1171,NK
1172,Dendritic Cells
1173,NK
1174,NK
1175,T helpers
1176,NK
1177,T Cells
1178,Monocytes
1179,Monocytes
1180,T Cells
1181,NK
1182,NK
1183,Monocytes
1184,NK
1185,Monocytes
1186,NK
1187,Monocytes
1188,Monocytes
1189,CD8 T Cells
1190,Monocytes
1191,Monocytes
1192,Monocytes
1193,Monocytes
1194,NK
1195,T Cells
1196,T helpers
1197,T Cells
1198,Monocytes
1199,Monocytes
1200,Monocytes
1201,Monocytes
1202,NK
1203,Monocytes
1204,NK
1205,NK
1206,NK
1207,NK
1208,T Cells
1209,Monocytes
1210,T Cells
1211,NK
1212,NK
1213,Monocytes
1214,Monocytes
1215,Monocytes
1216,T Cells
1217,Monocytes
1218,NK
1219,NK
1220,Monocytes
1221,Monocytes
1222,Monocytes
1223,Monocytes
1224,Monocytes
1225,T Cells
1226,T Cells 
1227,Monocytes
1228,T Cells
1229,Monocytes
1230,NK
1231,T Cells
1232,Monocytes
1233,NK
1234,NK
1235,Monocytes
1236,Monocytes
1237,NK
1238,Monocytes
1239,Monocytes
1240,Monocytes
1241,Monocytes
1242,NK
1243,T Cells
1244,NK
1245,Monocytes
1246,NK
1247,Monocytes
1248,NK
1249,Monocytes
1250,NK
1251,Monocytes
1252,NK
1253,T Cells
1254,Monocytes
1255,Monocytes
1256,Monocytes
1257,T Cells
1258,Monocytes
1259,NK
1260,Monocytes
1261,CD8 T Cells
1262,Monocytes
1263,Monocytes
1264,Monocytes
1265,Monocytes
1266,T Cells
1267,T helpers
1268,Monocytes
1269,NK
1270,NK
1271,Monocytes
1272,Monocytes
1273,Monocytes
1274,NK
1275,Monocytes
1276,T Cells
1277,CD8 T Cells
1278,Monocytes
1279,NK
1280,Monocytes
1281,Monocytes
1282,T Cells
1283,Monocytes
1284,Monocytes
1285,NK
1286,NK
1287,Monocytes
1288,T Cells
1289,NK
1290,Monocytes
1291,Monocytes
1292,Monocytes
1293,Monocytes
1294,NK
1295,NK
1296,T Cells
1297,Monocytes
1298,Monocytes
1299,Monocytes
1300,T Cells
1301,NK
1302,Monocytes
1303,Monocytes
1304,Monocytes
1305,NK
1306,Monocytes
1307,Monocytes
1308,NK
1309,Monocytes
1310,Monocytes
1311,Dendritic Cells
1312,Monocytes
1313,Monocytes
1314,Monocytes
1315,T Cells
1316,NK
1317,NK
1318,NK
1319,NK
1320,NK
1321,Monocytes
1322,NK
1323,Monocytes
1324,Monocytes
1325,Monocytes
1326,NK
1327,Monocytes
1328,NK
1329,Monocytes
1330,Monocytes
1331,Monocytes
1332,Monocytes
1333,T Cells
1334,Monocytes
1335,Monocytes
1336,T Cells
1337,NK
1338,Monocytes
1339,NK
1340,Monocytes
1341,T Cells
1342,NK
1343,T Cells
1344,Monocytes
1345,Monocytes
1346,Monocytes
1347,NK
1348,Monocytes
1349,Monocytes
1350,Monocytes
1351,Monocytes
1352,Monocytes
1353,T Cells
1354,Monocytes
1355,Monocytes
1356,Monocytes
1357,Monocytes
1358,Monocytes
1359,Monocytes
1360,NK
1361,T Cells
1362,NK
1363,Monocytes
1364,NK
1365,CD8 T Cells
1366,T Cells
1367,NK
1368,NK
1369,Monocytes
1370,Monocytes
1371,Monocytes
1372,Monocytes
1373,Monocytes
1374,NK
1375,NK
1376,Monocytes
1377,NK
1378,NK
1379,T Cells
1380,Monocytes
1381,Monocytes
1382,NK
1383,Monocytes
1384,Monocytes
1385,Monocytes
1386,Monocytes
1387,Monocytes
1388,Monocytes
1389,Monocytes
1390,NK
1391,Monocytes
1392,NK
1393,NK
1394,Monocytes
1395,Monocytes
1396,NK
1397,T Cells
1398,Monocytes
1399,NK
1400,Monocytes
1401,T Cells
1402,NK
1403,NK
1404,NK
1405,Monocytes
1406,Monocytes
1407,T Cells
1408,NK
1409,Monocytes
1410,Monocytes
1411,Monocytes
1412,NK
1413,Monocytes
1414,T Cells
1415,NK
1416,Monocytes
1417,Monocytes
1418,NK
1419,Monocytes
1420,T Cells
1421,Monocytes
1422,Monocytes
1423,Monocytes
1424,Monocytes
1425,B Cells
1426,NK
1427,Monocytes
1428,Monocytes
1429,Monocytes
1430,NK
1431,NK
1432,NK
1433,NK
1434,NK
1435,Monocytes
1436,Monocytes
1437,Monocytes
1438,NK
1439,Monocytes
1440,NK
1441,NK
1442,Monocytes
1443,NK
1444,Monocytes
1445,NK
1446,Monocytes
1447,Monocytes
1448,Monocytes
1449,Monocytes
1450,NK
1451,T Cells
1452,NK
1453,Dendritic Cells
1454,Monocytes
1455,NK
1456,Monocytes
1457,Monocytes
1458,NK
1459,Monocytes
1460,Monocytes
1461,NK
1462,Monocytes
1463,NK
1464,Monocytes
1465,NK
1466,NK
1467,NK
1468,NK
1469,Monocytes
1470,NK
1471,Monocytes
1472,NK
1473,NK
1474,Monocytes
1475,Dendritic Cells
1476,Monocytes
1477,Monocytes
1478,T Cells
1479,B Cells
1480,NK
1481,Dendritic Cells
1482,NK
1483,Monocytes
1484,T helpers
1485,NK
1486,T Cells
1487,Monocytes
1488,Monocytes
1489,Monocytes
1490,NK
1491,NK
1492,Monocytes
1493,CD8 T Cells
1494,Monocytes
1495,NK
1496,Monocytes
1497,Monocytes
1498,NK
1499,T Cells
1500,NK
1501,Monocytes
1502,T Cells
1503,Monocytes
1504,Monocytes
1505,Monocytes
1506,NK
1507,NK
1508,Monocytes
1509,NK
1510,Dendritic Cells
1511,Monocytes
1512,Dendritic Cells
1513,T Cells
1514,T Cells 
1515,NK
1516,Monocytes
1517,Monocytes
1518,Monocytes
1519,Monocytes
1520,Monocytes
1521,Monocytes
1522,NK
1523,Monocytes
1524,Monocytes
1525,NK
1526,Monocytes
1527,Monocytes
1528,NK
1529,Monocytes
1530,Monocytes
1531,NK
1532,Monocytes
1533,Monocytes
1534,NK
1535,T Cells
1536,T Cells
1537,Monocytes
1538,Monocytes
1539,Monocytes
1540,Monocytes
1541,T Cells
1542,NK
1543,CD8 T Cells
1544,Monocytes
1545,Monocytes
1546,NK
1547,Monocytes
1548,NK
1549,NK
1550,Monocytes
1551,Monocytes
1552,Monocytes
1553,Monocytes
1554,T Cells
1555,Monocytes
1556,T Cells 
1557,Monocytes
1558,Monocytes
1559,Monocytes
1560,NK
1561,NK
1562,NK
1563,NK
1564,NK
1565,Monocytes
1566,NK
1567,Monocytes
1568,Monocytes
1569,NK
1570,NK
1571,NK
1572,Monocytes
1573,Monocytes
1574,Monocytes
1575,Monocytes
1576,NK
1577,Monocytes
1578,Monocytes
1579,Monocytes
1580,Monocytes
1581,Monocytes
1582,Dendritic Cells
1583,T Cells
1584,T Cells
1585,Monocytes
1586,Monocytes
1587,Monocytes
1588,Monocytes
1589,NK
1590,Monocytes
1591,NK
1592,NK
1593,Monocytes
1594,NK
1595,Monocytes
1596,NK
1597,Monocytes
1598,Monocytes
1599,NK
1600,NK
